Tipo,Veh/Maq,Plan,Tarea/Documento,Estado
Mantenimiento,T15 | AA831MG,PLAN SCANIA G310-R410-R460-R500,Engrase General Obligatorio,Excedido en 5644 Km del Parametro Critico
Mantenimiento,T15 | AA831MG,PLAN SCANIA G310-R410-R460-R500,Control De Neumáticos,Excedido en 12264 Km del Parametro Critico
Mantenimiento,T15 | AA831MG,PLAN SCANIA G310-R410-R460-R500,Gancho de Arrastre - Plato,Excedido en 5856 Km del Parametro Critico
Mantenimiento,T15 | AA831MG,PLAN SCANIA G310-R410-R460-R500,Ajustes de Tacómetro,Excedido en 5856 Km del Parametro Critico
Mantenimiento,T15 | AA831MG,PLAN SCANIA G310-R410-R460-R500,Control de Suspension,Excedido en 5856 Km del Parametro Critico
Mantenimiento,T15 | AA831MG,PLAN SCANIA G310-R410-R460-R500,Control de Frenos,Excedido en 9264 Km del Parametro Critico
Mantenimiento,T15 | AA831MG,PLAN SCANIA G310-R410-R460-R500,Baterías (Control y Rotación),Excedido en 11146 Km del Parametro Critico
Mantenimiento,T15 | AA831MG,PLAN SCANIA G310-R410-R460-R500,Alineado y Balanceado (Control),Restan 6144 Km para el Parametro Critico
Mantenimiento,T15 | AA831MG,PLAN SCANIA G310-R410-R460-R500,Cambio de Filtro de Aire,Excedido en 1146 Km del Parametro Critico
Mantenimiento,T15 | AA831MG,PLAN SCANIA G310-R410-R460-R500,Cambio de Filtro de Combustible,Excedido en 1146 Km del Parametro Critico
Mantenimiento,T15 | AA831MG,PLAN SCANIA G310-R410-R460-R500,Cambio De Aceite,Excedido en 1146 Km del Parametro Critico
Mantenimiento,T15 | AA831MG,PLAN SCANIA G310-R410-R460-R500,Control De Filtro De Habitáculo,Restan 10561 Km para el Parametro Critico
Mantenimiento,T15 | AA831MG,PLAN SCANIA G310-R410-R460-R500,Cambio de Filtro de Aceite,Excedido en 1146 Km del Parametro Critico
Mantenimiento,T15 | AA831MG,PLAN SCANIA G310-R410-R460-R500,Cambio filtro combustible trampa de agua,Excedido en 1146 Km del Parametro Critico
Mantenimiento,T15 | AA831MG,PLAN SCANIA G310-R410-R460-R500,Cambio Filtro Secador,Excedido en 1146 Km del Parametro Critico
Mantenimiento,T15 | AA831MG,PLAN SCANIA G310-R410-R460-R500,Control General de Luces,Restan 10561 Km para el Parametro Critico
Mantenimiento,T15 | AA831MG,PLAN SCANIA G310-R410-R460-R500,Control de EJES,Restan 32736 Km para el Parametro Critico
Mantenimiento,T15 | AA831MG,PLAN SCANIA G310-R410-R460-R500,Control Adblue,Restan 111398 Km para el Parametro Critico
Mantenimiento,T15 | AA831MG,PLAN SCANIA G310-R410-R460-R500,Control de Correa de Accesorios (POLI V),Restan 222736 Km para el Parametro Critico
Mantenimiento,T15 | AA831MG,PLAN SCANIA G310-R410-R460-R500,Control Climatic,Restan 311398 Km para el Parametro Critico
Mantenimiento,T15 | AA831MG,PLAN SCANIA G310-R410-R460-R500,Control Bomba de Agua,Restan 772736 Km para el Parametro Critico
Mantenimiento,T15 | AA831MG,PLAN SCANIA G310-R410-R460-R500,Control Líquido Refrigerante,Restan 772736 Km para el Parametro Critico
Mantenimiento,T2 | AB159TK,PLAN VOLVO FM330-FM380-FH440-VM330,Engrase General Obligatorio,Restan 9625 Km para el Parametro Critico
Mantenimiento,T2 | AB159TK,PLAN VOLVO FM330-FM380-FH440-VM330,Control De Neumáticos,Restan 14625 Km para el Parametro Critico
Mantenimiento,T2 | AB159TK,PLAN VOLVO FM330-FM380-FH440-VM330,Gancho de Arrastre - Plato,Restan 2417 Km para el Parametro Critico
Mantenimiento,T2 | AB159TK,PLAN VOLVO FM330-FM380-FH440-VM330,Ajustes de Tacómetro,Restan 2417 Km para el Parametro Critico
Mantenimiento,T2 | AB159TK,PLAN VOLVO FM330-FM380-FH440-VM330,Control de Suspension,Restan 17625 Km para el Parametro Critico
Mantenimiento,T2 | AB159TK,PLAN VOLVO FM330-FM380-FH440-VM330,Control de Frenos,Restan 17625 Km para el Parametro Critico
Mantenimiento,T2 | AB159TK,PLAN VOLVO FM330-FM380-FH440-VM330,Cambio de Filtro de Aire,Restan 14417 Km para el Parametro Critico
Mantenimiento,T2 | AB159TK,PLAN VOLVO FM330-FM380-FH440-VM330,Cambio de Filtro de Combustible,Restan 14417 Km para el Parametro Critico
Mantenimiento,T2 | AB159TK,PLAN VOLVO FM330-FM380-FH440-VM330,Baterías (Control y Rotación),Restan 4328 Km para el Parametro Critico
Mantenimiento,T2 | AB159TK,PLAN VOLVO FM330-FM380-FH440-VM330,Alineado y Balanceado (Control),Excedido en 17976 Km del Parametro Critico
Mantenimiento,T2 | AB159TK,PLAN VOLVO FM330-FM380-FH440-VM330,Cambio De Aceite,Restan 14417 Km para el Parametro Critico
Mantenimiento,T2 | AB159TK,PLAN VOLVO FM330-FM380-FH440-VM330,Control De Filtro De Habitáculo,Excedido en 19028 Km del Parametro Critico
Mantenimiento,T2 | AB159TK,PLAN VOLVO FM330-FM380-FH440-VM330,Cambio de Filtro de Aceite,Restan 14417 Km para el Parametro Critico
Mantenimiento,T2 | AB159TK,PLAN VOLVO FM330-FM380-FH440-VM330,Cambio filtro combustible trampa de agua,Restan 14417 Km para el Parametro Critico
Mantenimiento,T2 | AB159TK,PLAN VOLVO FM330-FM380-FH440-VM330,Cambio Filtro Secador,Excedido en 88932 Km del Parametro Critico
Mantenimiento,T2 | AB159TK,PLAN VOLVO FM330-FM380-FH440-VM330,Control General de Luces,Restan 29625 Km para el Parametro Critico
Mantenimiento,T2 | AB159TK,PLAN VOLVO FM330-FM380-FH440-VM330,Control de EJES,Restan 12024 Km para el Parametro Critico
Mantenimiento,T2 | AB159TK,PLAN VOLVO FM330-FM380-FH440-VM330,Control Adblue,Restan 81068 Km para el Parametro Critico
Mantenimiento,T2 | AB159TK,PLAN VOLVO FM330-FM380-FH440-VM330,Control de Correa de Accesorios (POLI V),Restan 131068 Km para el Parametro Critico
Mantenimiento,T2 | AB159TK,PLAN VOLVO FM330-FM380-FH440-VM330,Embrague (Scaneo),Restan 281068 Km para el Parametro Critico
Mantenimiento,T2 | AB159TK,PLAN VOLVO FM330-FM380-FH440-VM330,Cambio De Aceite Caja Y Diferencial,Restan 281068 Km para el Parametro Critico
